Organizations:,Meeting Time:,Meeting Location:,Description:,Social Media:,Other Links:,,,
Fiber Arts Club,"Monday, 6:00 pm",SLC Lounge,"Fiber arts is the umbrella term for sewing, crochet, embroidery, and so much more. This club is a weekly sewing circle where members can practice and teach each other their craft.",https://www.instagram.com/sbfiberartsclub/,,,,
German Club,"Wednesday, 6:00 pm",Olin 126,The purpose of our organization is to get students to learn more about Germany and the German language.,https://www.instagram.com/german_club_su/,,,,
Golden Pirates,,,"The Golden Pirates began as a passionate gaming community and have grown into Southwestern University’s official esports team. While we’re still a small and growing team, we’re all about building skills, forming connections, and having a blast along the way. Whether you’re here to compete or just love the game, the Golden Pirates are where passion meets play—and every level of gamer is welcome!",,https://discord.gg/4Ma97Mer,,,
Kappa Alpha,,,"Our purpose is to create a lifetime experience which centers on reverence to God, duty, honor, character and gentlemanly conduct.",https://www.instagram.com/southwestern_ka/,https://www.southwestern.edu/life-at-southwestern/student-organizations/fraternity-and-sorority-life/fraternities-at-su/kappa-alpha-order/,,,
Kappa Delta Chi,,,"Kappa Delta Chi Sorority, Inc. is a Latina founded, 501(c)(7), national sorority who aims to achieve professional development, academic excellence, and graduation of all its members; an organization dedicated to community service to their local university communities with an emphasis on the Hispanic/Latino population. The Purpose of Kappa Delta Chi is to promote the values of Unity, Honesty, Integrity and Leadership among women at colleges and universities. Through numerous service events, sisterhood retreats, and academic and cultural workshops, KDChis learn more about themselves, each other and their surrounding Universities and communities. They blossom into committed leaders, are able to network with our remarkable alumnae, and continue to serve as civic leaders well past their graduation. KDChi is a non-traditional sorority full of diverse members and eager women ready to make a difference in our communities. With sisters, anything is possible.",https://www.instagram.com/kdchi_alphatau/,https://www.southwestern.edu/life-at-southwestern/student-organizations/fraternity-and-sorority-life/sororities-at-su/kappa-delta-chi/,,,
Kappa Sigma,,,"We are one of the oldest and largest fraternities in North America dedicated to the total development of today’s college man by fostering a values-based fraternity environment on our principles of fellowship, leadership, scholarship, and service.",https://www.instagram.com/kappasigma_su/,https://www.southwestern.edu/life-at-southwestern/student-organizations/fraternity-and-sorority-life/fraternities-at-su/kappa-sigma/,,,
Latinos Unidos,,,"Latinos Unidos is a student organization dedicated to fostering awareness and education about Hispanic and Latine culture. Latinos Unidos unites students on campus and encourages leadership, service, and empowerment of students.",https://www.instagram.com/su.latinosunidos/,,,,
Mask and Wig,,,"Mask & Wig is the oldest active club at SU. We are committed to creating a safe & welcoming environment in order that the joy of theatre and theatre-related activities are accessible to everyone who would like to participate. We are a social club dedicated to sharing and enjoying a theatre community. Majors and non-majors are welcome equally, and opportunities will not be held specially for theatre affiliated students alone. All are welcome regardless of experience level. We are dedicated to fostering  a culture of belonging, safety, and freedom among all members. If you enjoy theatre, we’d love to have you!!",https://www.instagram.com/sumaskandwig/,,,,
Math Club,"Wednesday, 7:00 pm",FJS 310,"Our goal is to encourage mathematical curiosity, prepare students for their studies, and foster an environment that is welcoming and fun for everyone!",,,,,
Megaphone,,,We are the campus newspaper! We write articles to uplift and inform the student voice.,https://www.instagram.com/su_megaphone/,https://megaphone.southwestern.edu/,,,
Muslim Student Association,,JEDI Center,"The Muslim Student Association is a welcoming space for Muslim students to connect, practice their faith, and find community on campus. Our mission is to support and uplift Muslim voices, educate others about Islam, and foster interfaith understanding through events, discussions, and outreach. Everyone is welcome to learn, engage, and grow with us.",https://www.instagram.com/_sumsa_/,,,,
Nia,,,"Empowering, supporting, and uplifting young women.",https://www.instagram.com/nia.at.su/,,,,
OASIS,,,"Both students and faculty members who are interested in sociology and anthropology participate in OASIS. OASIS sponsors a number of activities throughout the year, which may include a fall picnic, an end-of-year party, panels of alumni who talk about their jobs or graduate school, and meetings focusing on upcoming events and building community. Majors and minors are encouraged to participate in the planning of these and other departmental programs and activities. If you are interested in getting involved, please see one of the department’s faculty members. Students are notified of OASIS events through our listserv and Instagram page.",https://www.instagram.com/oasis.su/,,,,
Phi Delta Theta,,,"Phi Delta Theta (Phi Delt) was founded at Miami University on December 26, 1848. The Texas Gamma chapter was founded at Southwestern in 1886. Phi Delt strives to develop young men who are prepared to enter the real world with a confidence and demeanor that will benefit them throughout their life. Phi Delt teaches men to be confident speakers, organized, and leaders within their communities.",https://www.instagram.com/suphidelt/,,,,
Physics Club,,,To bring together physics majors and enthusiasts into a shared space of learning for physics fields.,,,,,
Pi Kappa Alpha,,,"Pi Kappa Alpha members are known as “Pikes”. PIKE was founded at the University of Virginia, March 1, 1868. The Alpha Omicron chapter was established at Southwestern, November 2, 1910, making it the 1st of 12 Texas Pi Kappa Alpha Chapters. Pike undergraduates & alumni mentors are dedicated to developing men of integrity, intellect, ambition to succeed, and high moral character. The Alpha Omicron members have traditional values, are culturally diverse and united by a shared goal – to contribute to their “brotherhood” and themselves as Scholars, Leaders, Athletes, and Gentlemen. Alpha Omicron have access to both Texas & National Alumni Directories that support internships and professional graduation opportunities.",https://www.instagram.com/southwesternpike/,https://swupikes.org/,https://www.southwestern.edu/life-at-southwestern/student-organizations/fraternity-and-sorority-life/fraternities-at-su/pi-kappa-alpha/,,
Pirate Buddies,,,To create an inclusive space for both members of the Georgetown community who have disabilities and Southwestern students.,https://www.instagram.com/supiratebuddies/,,,,
Pirates for Pride,"Thursday, 5:00-6:00 pm",JEDI Center,P4P is a student organization that supports LGBTQIA+ students on SU's campus. We provide a space for these students to express themselves and build community with their fellow queer students. P4P aims to make everyone feel included and supported during their time at SU. ,https://www.instagram.com/pirates4pride/,https://www.southwestern.edu/jedi-center/jedi-student-organizations/pirates-for-pride/,,,
Pirates' Pups,,,"Pirates’ Pups aims to create a fun and supportive environment where students can relax, bond, and connect with each other and the dogs who bring joy into their lives. From bi-monthly dog walks to seasonal social events, the club hosts a variety of activities. Keen on also making a positive impact on the local community, the club strives to support animal welfare through events such as fundraising walks and partnerships with local shelters.",https://www.instagram.com/piratespups/,,,,
Pre-Dental Society,5:00-6:00 pm (Dates TBD),Prothro 244,"Our purpose is to guide students through the process of getting in to dental school, DAT requirements, various fields of dentistry, and opportunities for dental experience.",https://www.instagram.com/southwestern.predentalsociety/,,,,
Pre-Health Organization,,,"Our purpose is to encourage excellence in scholarship, promote cooperation among pre-health students and faculty, and bring together students with similar interests in order to stimulate appreciation and preparation for health professional education. ",https://www.instagram.com/su_healthorg/,,,,
Pre-Law Society,,,The purpose of the SU Pre-Law Society is to provide a gathering place for aspiring lawyers and those chasing law related degrees and professions. ,https://www.instagram.com/su_prelaw/,,,,
Reproductive Justice Alliance,"Every other Monday, 5:00 pm",JEDI Center,"Our purpose is to promote an understanding of reproductive justice on campus, which includes economic justice, the environment, immigrants’ rights, disability rights, discrimination based on race and sexual orientation, and a host of other community centered concerns. We also provide resources on these subjects to any interested folks.",https://www.instagram.com/sureproductivejustice/,https://www.southwestern.edu/jedi-center/jedi-student-organizations/reproductive-justice-alliance/,,,
Rotaract Club of Southwestern,"Every other Tuesday, 6:30-7:30 pm",Mood 124,"Our main purposes are to develop leadership skills, serve our community, promote professional development, and encourage international understanding.",https://www.instagram.com/rotaract.su/,,,,
Southwestern Business Club,"Every other Thursday, 8:00-9:00 pm",McCombs Ballrooms,"Our vision is to provide high-impact professional experiences to students in a variety of ways. These experiences seek to give our members a wide array of opportunities for skill development, networking, and personal growth. We strive to empower students to excel in their chosen fields by offering hands-on workshops, guest speaker events, and industry immersion programs. Through these initiatives, we aim to bridge the gap between academic learning and real-world application, preparing our members to thrive in their future careers. We are committed to fostering a supportive community where students can collaborate, innovate, and inspire one another to reach their full potential.",https://www.instagram.com/su_business_club/,https://www.southwestern.edu/life-at-southwestern/student-organizations/departmental/business-club/,,,
Student Foundation,,,"Student Foundation takes initiative to develop programs that encourage campus community, special Southwestern traditions, and connections with the Southwestern University Alumni Assocation.",https://www.instagram.com/stufo_su/,https://www.southwestern.edu/life-at-southwestern/student-foundation/,,,
Student Philanthropy Council,,,"Student Philanthropy Council (SPC) brings together passionate Southwestern students to educate and inspire a culture of giving. Through philanthropy, we show that support at any level strengthens the student experience and creates lasting impact. Together, we believe every gift and every student has the power to change lives.",https://www.instagram.com/spcpirates/,https://sites.google.com/southwestern.edu/student-philanthropy-council/home,,,
SU Artist Association,"Every other Tuesday, 5:00 pm",FAB,"SUAA is a space for studio art majors and minors to get together and foster community within this discipline. SUAA emphasizes the importance of learning foundational knowledge and important skills, such as marketing, professional development, and providing advice on submission materials.",https://www.instagram.com/suartistassociation/,,,,
SU Chess Club,"Wednesday and Thursday, 6:00pm","The Cove, Olin 124",Our goal is to improve and preserve the chess playing abilities of the individual and to prepare them for higher level playing.,https://www.instagram.com/su.chess.club/,,,,
SU Community Garden Club,"Wednesday, 5:00",,A place for all members of the SU community to grow together!,https://www.instagram.com/supirategarden/,,,,
SU Creative Writing Club,,,"Our goal is to provide a space for students to share and receive constructive criticism on any and all forms of creative writing. Additionally we want to hep students set goals and build habits around their writing pursuits, as it can be easy to set aside in the chaos of college life.",,,,,
SU Environmentalists,"Monday, 5:00 pm",,"We believe that sustainability is for everyone and that a sustainable society is one that honors the earth and all its inhabitants. We strive to create this society by educating ourselves and others on our connection to the planet and on the local and global impacts we have on its vital systems. We aim to disrupt consumptive mindsets, advance environmental justice, and foster a more sustainable future for all.",https://www.instagram.com/su_environmentalists/,,,,
SU Philosophers,"Thursday, 5:00 pm",Mood 246,The purpose of this club is to encourage everyone to have a voice about philosophical matters that each person feels strongly about and allow for other opinions to be heard and defended. The only requirement to be a member of this organization is to have an open mind and be willing to kindly discuss sometimes difficult topics.,https://www.instagram.com/su.philosophers/,,,,
SU Progressives,"Every other Friday, 2:00 pm",SLC 202,"Our purpose is to promote progressive values through civic engagement, political education, advocacy, and community involvement. The organization aims to empower students to participate in the democratic process, foster informed discussion on social, economic, and political issues, and work toward equity, justice, and positive social change on campus and beyond.",https://www.instagram.com/southwesternprogressives/,,,,
SU Socialists,,,The SU Socialists Club gathers to discuss and comment on various works relating to socialist theory. If you don’t know what socialism is–or only have a vague idea of what it is from various TikToks that have appeared on your feed–joining this club will help give you an overall better grasp of what socialism really is and what it is not.,https://www.instagram.com/susocialists7/,,,,
SU Tabletop,"Monday, Tuesday, 7:00 pm",SLC Lounge and Lobby,Our purpose is to foster a creative community of like-minded students through the shared interest of tabletop gaming.,https://www.instagram.com/sutabletop/,,,,
SU Tertulias,"Friday, time varies",SLC 115,Our purpose is to help people learn Spanish in a low-stakes and stress-free environment by watching familiar childhood movies in Spanish. ,https://www.instagram.com/su.cine.tertulia/,,,,
SU Votes,,,"We are working to strengthen Southwestern University's student involvement across local, state and federal elections!",https://www.instagram.com/southwesternuvotes/,,,,
The GAME,Wednesday,,"The Groove and Movement Exploration (GAME) club focuses on introducing students to dance and dance culture/ history, with a focus on HipHop style. We bring students together to have a great time, destress, and move their bodies. We are no commitment and open to all.",https://www.instagram.com/su.thegame/,,,,
United Methodist Student Fellowship,"Thursday, 6:00-7:00 pm",Mood 246,This organization exists as a home to United Methodist students and all students seeking to have a inclusive faith community.,https://www.instagram.com/southwestern_umsf/,,,,
Young Life,,,"Truth, adventure, relationship, joy.",https://www.instagram.com/suylcollege/,,,,
Zeta Tau Alpha,,,"Zeta Tau Alpha (ZTA) was founded on October 15, 1898, at the Longwood University in Farmville, Virginia. The Lambda Chapter at Southwestern was installed on May 31, 1906. ZTA aims to make a difference in the lives of its members by developing the potential of each individual through innovative programming, which emphasizes leadership development, service to others, academic achievement, and continued personal growth for women, with a commitment to friendship and the future based on the sisterhood, values, and traditions of the past. Zeta Tau Alpha’s philanthropy is Breast Cancer Education and Awareness; members host multiple philanthropy events per semester to raise money for the philanthropy.",https://www.instagram.com/lambdazta/,https://southwestern.zetataualpha.org/,https://www.southwestern.edu/life-at-southwestern/student-organizations/fraternity-and-sorority-life/sororities-at-su/zeta-tau-alpha/,,
